綜合台,#genre#
臺視 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ttv_taiwan
臺視綜合,http://smt.iktv.ddns-ip.net/Smart.php?id=ttvzhonghe
華視,http://smt.iktv.ddns-ip.net/Smart.php?id=ctshd_twn

電影,#genre#
AXN,http://smt.iktv.ddns-ip.net/Smart.php?id=axn_twn
CINEMAX,http://smt.iktv.ddns-ip.net/Smart.php?id=cinemax_twn
HBO,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohd_twn
HBO HITS,http://smt.iktv.ddns-ip.net/Smart.php?id=hbohit_twn
好萊塢電影臺,http://smt.iktv.ddns-ip.net/Smart.php?id=hollywoodmovies_twn
東森洋片臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvwestern
東森電影臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvmovie
緯來電影,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandmovie
美亞電影,http://smt.iktv.ddns-ip.net/Smart.php?id=meiyamovie_twn
衛視電影臺,http://smt.iktv.ddns-ip.net/Smart.php?id=weishimovie_twn
龍華洋片,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuawestern_twn
龍華電影,http://smt.iktv.ddns-ip.net/Smart.php?id=xingwei_movie

戲劇,#genre#
EYE 戲劇臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eyetvxiju_twn
三立戲劇臺,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlixiju_twn
八大戲劇臺,http://smt.iktv.ddns-ip.net/Smart.php?id=badadrama
愛爾達影劇臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eltayingju_twn
東森戲劇臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvdrama
龍華偶像,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuaidol_twn
龍華戲劇,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuaxiju_twn

兒童,#genre#
東森幼幼臺,http://smt.iktv.ddns-ip.net/Smart.php?id=yoyo_twn
靖天卡通,http://smt.iktv.ddns-ip.net/Smart.php?id=jingtiancartoon_twn

旅遊探索,#genre#
EYE 旅遊臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eyetvtravel_twn
MTV Live,http://smt.iktv.ddns-ip.net/Smart.php?id=mtvhd_twn
TLC旅遊生活,http://smt.iktv.ddns-ip.net/Smart.php?id=tlc_twn
亞洲旅遊臺,http://smt.iktv.ddns-ip.net/Smart.php?id=asiatravel_twn
亞洲美食,http://smt.iktv.ddns-ip.net/Smart.php?id=afc_twn
美食星球,http://smt.iktv.ddns-ip.net/Smart.php?id=foodplanet_twn

