綜合台,#genre#
博斯無限臺,http://free.cnlive.club/channel/47dd89d5/index.m3u8?q=1749983000005
博斯網球檯,http://free.cnlive.club/channel/4838e3b3/index.m3u8?q=1749983000005
博斯運動一臺,http://free.cnlive.club/channel/n3a1a5ced/index.m3u8?q=1749983000005
博斯運動二臺,http://free.cnlive.club/channel/n3a1a4bf9/index.m3u8?q=1749983000005
博斯高球一臺,http://free.cnlive.club/channel/n34996e5a/index.m3u8?q=1749983000005
博斯高球二臺,http://free.cnlive.club/channel/n34995d66/index.m3u8?q=1749983000005
愛爾達體育1臺,http://free.cnlive.club/channel/n6cd87fd/index.m3u8?q=1749983000005
愛爾達體育2臺,http://free.cnlive.club/channel/n6cd87de/index.m3u8?q=1749983000005
愛爾達體育3臺,http://free.cnlive.club/channel/n6cd87bf/index.m3u8?q=1749983000005
緯來體育,http://free.cnlive.club/channel/5816d06e/index.m3u8?q=1749983000005

四台,#genre#
中視 HD,http://free.cnlive.club/channel/dc53f4d/index.m3u8?q=1749983000005
中視經典,http://free.cnlive.club/channel/4291e438/index.m3u8?q=1749983000005
公視 HD,http://free.cnlive.club/channel/3b838b0c/index.m3u8?q=1749983000005
公視臺語臺,http://free.cnlive.club/channel/3ccf6783/index.m3u8?q=1749983000005
民視 HD,http://free.cnlive.club/channel/n4d0434cf/index.m3u8?q=1749983000005
民視臺灣台,http://free.cnlive.club/channel/n4bbbe8c9/index.m3u8?q=1749983000005
臺視 HD,http://free.cnlive.club/channel/5ef6ab90/index.m3u8?q=1749983000005
臺視綜合,http://free.cnlive.club/channel/45306b98/index.m3u8?q=1749983000005
華視 HD,http://free.cnlive.club/channel/560bcbee/index.m3u8?q=1749983000005

電影,#genre#
AXN Taiwan,http://free.cnlive.club/channel/n4e27c899/index.m3u8?q=1749983000005
CINEMAX,http://free.cnlive.club/channel/7c7a1311/index.m3u8?q=1749983000005
HBO_HD,http://free.cnlive.club/channel/2d329e1c/index.m3u8?q=1749983000005
HBO_HITS,http://free.cnlive.club/channel/n54fc5ba0/index.m3u8?q=1749983000005
好萊塢電影臺,http://free.cnlive.club/channel/n2db95de5/index.m3u8?q=1749983000005
東森洋片臺,http://free.cnlive.club/channel/n7160b4/index.m3u8?q=1749983000005
東森電影臺,http://free.cnlive.club/channel/n5502f4/index.m3u8?q=1749983000005
緯來電影,http://free.cnlive.club/channel/581b458b/index.m3u8?q=1749983000005
美亞電影,http://free.cnlive.club/channel/5824ef5e/index.m3u8?q=1749983000005
衛視電影臺,http://free.cnlive.club/channel/5967d303/index.m3u8?q=1749983000005
龍華洋片,http://free.cnlive.club/channel/66c68ce7/index.m3u8?q=1749983000005
龍華電影,http://free.cnlive.club/channel/66c77727/index.m3u8?q=1749983000005

戲劇,#genre#
EYE 戲劇臺,http://free.cnlive.club/channel/27dadb3/index.m3u8?q=1749983000005
三立戲劇臺,http://free.cnlive.club/channel/6748da0/index.m3u8?q=1749983000005
八大戲劇臺,http://free.cnlive.club/channel/26d54426/index.m3u8?q=1749983000005
愛爾達影劇臺,http://free.cnlive.club/channel/n2109392b/index.m3u8?q=1749983000005
東森戲劇臺,http://free.cnlive.club/channel/n9e78d0/index.m3u8?q=1749983000005
龍華偶像,http://free.cnlive.club/channel/66c2f564/index.m3u8?q=1749983000005
龍華戲劇,http://free.cnlive.club/channel/66c51883/index.m3u8?q=1749983000005

兒童,#genre#
東森幼幼臺,http://free.cnlive.club/channel/naa6d18/index.m3u8?q=1749983000005
靖天卡通,http://free.cnlive.club/channel/63181d62/index.m3u8?q=1749983000005

旅遊探索,#genre#
EYE 旅遊臺,http://free.cnlive.club/channel/28efa38/index.m3u8?q=1749983000005
MTV Live,http://free.cnlive.club/channel/731620b3/index.m3u8?q=1749983000005
TLC旅遊生活,http://free.cnlive.club/channel/34964cb6/index.m3u8?q=1749983000005
亞洲旅遊臺,http://free.cnlive.club/channel/852ca6f/index.m3u8?q=1749983000005
亞洲美食,http://free.cnlive.club/channel/4258879f/index.m3u8?q=1749983000005
美食星球,http://free.cnlive.club/channel/5939fd4b/index.m3u8?q=1749983000005

