綜合台,#genre#
東森購物5,https://hls-gateway.vpstv.net/streams/493136.m3u8
東森超視 HD,https://hls-gateway.vpstv.net/streams/476234.m3u8
生命電視,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts\u0026cpid=admin\u0026size=1920X1080
緯來日本 HD,https://hls-gateway.vpstv.net/streams/477039.m3u8
緯來精彩 HD,https://hls-gateway.vpstv.net/streams/476286.m3u8
緯來綜合 HD,https://hls-gateway.vpstv.net/streams/477086.m3u8
緯來育樂,https://hls-gateway.vpstv.net/streams/477081.m3u8
臺灣番薯電視臺,https://hls-gateway.vpstv.net/streams/495096.m3u8
華藏衛星電視臺,https://hls-gateway.vpstv.net/streams/708959.m3u8
金光布袋戲,https://hls-gateway.vpstv.net/streams/708946.m3u8
霹靂臺灣 HD,https://hls-gateway.vpstv.net/streams/488941.m3u8
靖天國際臺,https://hls-gateway.vpstv.net/streams/476254.m3u8
靖天日本臺,https://hls-gateway.vpstv.net/streams/476256.m3u8
靖天映畫臺,https://hls-gateway.vpstv.net/streams/476302.m3u8
靖天歡樂臺,https://hls-gateway.vpstv.net/streams/476253.m3u8
靖天綜合臺,https://hls-gateway.vpstv.net/streams/476259.m3u8
靖天育樂臺,https://hls-gateway.vpstv.net/streams/481789.m3u8
靖天資訊臺,https://hls-gateway.vpstv.net/streams/476258.m3u8
韓國娛樂臺 HD,https://hls-gateway.vpstv.net/streams/708919.m3u8
高點綜合 HD,https://hls-gateway.vpstv.net/streams/709645.m3u8
龍祥時代 HD,https://hls-gateway.vpstv.net/streams/476295.m3u8
龍華動畫,https://hls-gateway.vpstv.net/streams/493135.m3u8
龍華日韓,https://hls-gateway.vpstv.net/streams/476231.m3u8
龍華經典,https://hls-gateway.vpstv.net/streams/476294.m3u8

新聞,#genre#
CNN,https://hls-gateway.vpstv.net/streams/488932.m3u8
SBN全球財經臺HD,https://hls-gateway.vpstv.net/streams/708894.m3u8
TVBS新聞臺,https://hls-gateway.vpstv.net/streams/708927.m3u8
三立新聞 HD,https://hls-gateway.vpstv.net/streams/492922.m3u8
三立財經新聞 HD,https://hls-gateway.vpstv.net/streams/488992.m3u8
中天新聞,https://hls-gateway.vpstv.net/streams/477695.m3u8
中視新聞 HD,https://hls-gateway.vpstv.net/streams/476269.m3u8
壹新聞 HD,https://hls-gateway.vpstv.net/streams/488993.m3u8
寰宇新聞臺,https://hls-gateway.vpstv.net/streams/476270.m3u8
寰宇新聞臺灣台,https://hls-gateway.vpstv.net/streams/708931.m3u8
寰宇財經臺,https://hls-gateway.vpstv.net/streams/488994.m3u8
年代新聞 HD,https://hls-gateway.vpstv.net/streams/709037.m3u8
彭博財經臺,https://hls-gateway.vpstv.net/streams/493132.m3u8
東森新聞 HD,https://hls-gateway.vpstv.net/streams/476998.m3u8
東森財經新聞 HD,https://hls-gateway.vpstv.net/streams/477062.m3u8
民視新聞 HD,https://hls-gateway.vpstv.net/streams/479210.m3u8
第一商業,https://hls-gateway.vpstv.net/streams/709648.m3u8
臺視新聞 HD,https://hls-gateway.vpstv.net/streams/476268.m3u8
臺視財經 HD,https://hls-gateway.vpstv.net/streams/476271.m3u8
華視新聞 HD,https://hls-gateway.vpstv.net/streams/476266.m3u8
鏡新聞news,https://hls-gateway.vpstv.net/streams/476272.m3u8
非凡商業臺,https://hls-gateway.vpstv.net/streams/488936.m3u8
非凡新聞,https://hls-gateway.vpstv.net/streams/477083.m3u8

體育,#genre#
DAZN 1,https://hls-gateway.vpstv.net/streams/639643.m3u8
DAZN 2,https://hls-gateway.vpstv.net/streams/476991.m3u8
ELTA 體育 2MAX,https://hls-gateway.vpstv.net/streams/709011.m3u8
ELTA 體育1臺,https://hls-gateway.vpstv.net/streams/477037.m3u8
ELTA 體育3臺,https://hls-gateway.vpstv.net/streams/483407.m3u8
ELTA體育 1MAX,https://hls-gateway.vpstv.net/streams/709010.m3u8
ELTA體育 3MAX,https://hls-gateway.vpstv.net/streams/709012.m3u8
ELTA體育 4MAX,https://hls-gateway.vpstv.net/streams/709013.m3u8
ELTA體育2臺,https://hls-gateway.vpstv.net/streams/477079.m3u8
ELTA體育4,https://hls-gateway.vpstv.net/streams/708875.m3u8
Z頻道 HD,https://hls-gateway.vpstv.net/streams/525785.m3u8
博斯無限,https://hls-gateway.vpstv.net/streams/477603.m3u8
博斯無限 Ⅱ,https://hls-gateway.vpstv.net/streams/477604.m3u8
博斯網球,https://hls-gateway.vpstv.net/streams/477602.m3u8
博斯運動,https://hls-gateway.vpstv.net/streams/477034.m3u8
博斯運動 2,https://hls-gateway.vpstv.net/streams/477029.m3u8
博斯高球1,https://hls-gateway.vpstv.net/streams/477089.m3u8
博斯高球2,https://hls-gateway.vpstv.net/streams/477073.m3u8
博斯魅力,https://hls-gateway.vpstv.net/streams/477598.m3u8
智林體育臺,https://hls-gateway.vpstv.net/streams/488984.m3u8
緯來體育 HD,https://hls-gateway.vpstv.net/streams/477026.m3u8
華視體育文化教育,https://hls-gateway.vpstv.net/streams/708890.m3u8

四台,#genre#
中視 HD,https://hls-gateway.vpstv.net/streams/476983.m3u8
中視經典 HD,https://hls-gateway.vpstv.net/streams/476362.m3u8
中視菁採 HD,https://hls-gateway.vpstv.net/streams/476260.m3u8
公視 HD,https://hls-gateway.vpstv.net/streams/476984.m3u8
公視2,https://hls-gateway.vpstv.net/streams/708888.m3u8
公視三臺 HD,https://hls-gateway.vpstv.net/streams/493131.m3u8
公視臺語,https://hls-gateway.vpstv.net/streams/476235.m3u8
民視 HD,https://hls-gateway.vpstv.net/streams/476986.m3u8
民視第一臺 HD,https://hls-gateway.vpstv.net/streams/476243.m3u8
民視綜藝,https://hls-gateway.vpstv.net/streams/476242.m3u8
民視臺灣台 HD,https://hls-gateway.vpstv.net/streams/476244.m3u8
臺視 HD,https://hls-gateway.vpstv.net/streams/476982.m3u8
臺視綜合HD,https://hls-gateway.vpstv.net/streams/708885.m3u8
華視 HD,https://hls-gateway.vpstv.net/streams/476985.m3u8

電影,#genre#
AXN 亞洲,https://hls-gateway.vpstv.net/streams/476299.m3u8
AXN壹灣,https://hls-gateway.vpstv.net/streams/476296.m3u8
CI 罪案偵查頻道,https://hls-gateway.vpstv.net/streams/708944.m3u8
CINEMAX,https://hls-gateway.vpstv.net/streams/476283.m3u8
CatchPlay HD,https://hls-gateway.vpstv.net/streams/708881.m3u8
CinemaWord,https://hls-gateway.vpstv.net/streams/708895.m3u8
HBO East,https://hls-gateway.vpstv.net/streams/476633.m3u8
HBO HD,https://hls-gateway.vpstv.net/streams/476278.m3u8
HBO HiTS,https://hls-gateway.vpstv.net/streams/476972.m3u8
HBO Signature,https://hls-gateway.vpstv.net/streams/476634.m3u8
HBO family,https://hls-gateway.vpstv.net/streams/476973.m3u8
Hollywood HD,https://hls-gateway.vpstv.net/streams/477065.m3u8
amc最愛電影HD,https://hls-gateway.vpstv.net/streams/708906.m3u8
壹電影 HD,https://hls-gateway.vpstv.net/streams/476280.m3u8
彩昌電影臺HD,https://hls-gateway.vpstv.net/streams/708909.m3u8
影迷數位電影臺HD,https://hls-gateway.vpstv.net/streams/708907.m3u8
我的歐洲電影HD,https://hls-gateway.vpstv.net/streams/708896.m3u8
東森洋片 HD,https://hls-gateway.vpstv.net/streams/476997.m3u8
東森電影 HD,https://hls-gateway.vpstv.net/streams/476995.m3u8
緯來電影 HD,https://hls-gateway.vpstv.net/streams/477063.m3u8
美亞電影臺,https://hls-gateway.vpstv.net/streams/709286.m3u8
華納電影,https://hls-gateway.vpstv.net/streams/476301.m3u8
電影原聲臺Cmusic,https://hls-gateway.vpstv.net/streams/708938.m3u8
靖天電影臺,https://hls-gateway.vpstv.net/streams/476290.m3u8
龍華洋片 HD,https://hls-gateway.vpstv.net/streams/477076.m3u8
龍華電影,https://hls-gateway.vpstv.net/streams/476300.m3u8

戲劇,#genre#
ELTA影劇 HD,https://hls-gateway.vpstv.net/streams/476282.m3u8
EYE戲劇臺,https://hls-gateway.vpstv.net/streams/476287.m3u8
三立戲劇臺,https://hls-gateway.vpstv.net/streams/476288.m3u8
八大戲劇臺 HD,https://hls-gateway.vpstv.net/streams/488934.m3u8
公視戲劇,https://hls-gateway.vpstv.net/streams/476298.m3u8
東森戲劇 HD,https://hls-gateway.vpstv.net/streams/476994.m3u8
民視戲劇臺,https://hls-gateway.vpstv.net/streams/708947.m3u8
緯來戲劇 HD,https://hls-gateway.vpstv.net/streams/477067.m3u8
靖洋戲劇,https://hls-gateway.vpstv.net/streams/476285.m3u8
龍華偶像HD,https://hls-gateway.vpstv.net/streams/708930.m3u8
龍華戲劇,https://hls-gateway.vpstv.net/streams/476293.m3u8

兒童,#genre#
CN卡通,https://hls-gateway.vpstv.net/streams/476247.m3u8
Dreamworks臺灣,https://hls-gateway.vpstv.net/streams/708932.m3u8
MOMO親子臺,https://hls-gateway.vpstv.net/streams/477060.m3u8
Nickjr卡通臺,https://hls-gateway.vpstv.net/streams/477025.m3u8
i-Fun動漫臺,https://hls-gateway.vpstv.net/streams/708917.m3u8
尼克兒童頻道,https://hls-gateway.vpstv.net/streams/708915.m3u8
東森幼幼 HD,https://hls-gateway.vpstv.net/streams/476246.m3u8
達文西頻道,https://hls-gateway.vpstv.net/streams/493134.m3u8
靖天卡通臺,https://hls-gateway.vpstv.net/streams/476249.m3u8
靖洋卡通,https://hls-gateway.vpstv.net/streams/476248.m3u8

旅遊探索,#genre#
ABC互動英語頻道,https://hls-gateway.vpstv.net/streams/708951.m3u8
ANIMAX,https://hls-gateway.vpstv.net/streams/477583.m3u8
BBC Earth,https://hls-gateway.vpstv.net/streams/477040.m3u8
BBC Lifestyle HD,https://hls-gateway.vpstv.net/streams/476671.m3u8
Discovery,https://hls-gateway.vpstv.net/streams/476277.m3u8
Discovery Asia,https://hls-gateway.vpstv.net/streams/708899.m3u8
Discovery DMAX,https://hls-gateway.vpstv.net/streams/708900.m3u8
Discovery Science,https://hls-gateway.vpstv.net/streams/708903.m3u8
ELTV英語學習頻道,https://hls-gateway.vpstv.net/streams/708950.m3u8
EYE 旅遊,https://hls-gateway.vpstv.net/streams/476276.m3u8
HGTV居家樂活,https://hls-gateway.vpstv.net/streams/476328.m3u8
History 臺灣,https://hls-gateway.vpstv.net/streams/708942.m3u8
Lifetime,https://hls-gateway.vpstv.net/streams/708920.m3u8
Love Nature臺灣,https://hls-gateway.vpstv.net/streams/708756.m3u8
MTVHD,https://hls-gateway.vpstv.net/streams/708883.m3u8
TLC旅遊臺,https://hls-gateway.vpstv.net/streams/488939.m3u8
TV5MONDESTYLEHD生活時尚,https://hls-gateway.vpstv.net/streams/708940.m3u8
Travel Channel臺灣,https://hls-gateway.vpstv.net/streams/708936.m3u8
亞洲旅遊,https://hls-gateway.vpstv.net/streams/476274.m3u8
動物星球,https://hls-gateway.vpstv.net/streams/477088.m3u8
幸福空間居家臺 HD,https://hls-gateway.vpstv.net/streams/488986.m3u8
探索世界,https://hls-gateway.vpstv.net/streams/476976.m3u8
探索亞洲,https://hls-gateway.vpstv.net/streams/476978.m3u8
探索科學,https://hls-gateway.vpstv.net/streams/489008.m3u8
搜索動力DMAX,https://hls-gateway.vpstv.net/streams/476252.m3u8
歷史頻道,https://hls-gateway.vpstv.net/streams/525779.m3u8
民視旅遊,https://hls-gateway.vpstv.net/streams/476240.m3u8
美食星球,https://hls-gateway.vpstv.net/streams/476263.m3u8
美食星球,https://hls-gateway.vpstv.net/streams/709110.m3u8
視納華仁紀實臺,https://hls-gateway.vpstv.net/streams/493137.m3u8

