央视频道,#genre#
CCTV-7,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024072003.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078503.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078603.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078703.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078803.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078903.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024079003.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024079103.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024079203.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024079303.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024079503.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4K,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024081302.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8K,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2020603421.m3u8?key=txiptv&playlive=1&authid=0



CCTV-1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1
CCTV-2,http://mdxgh.tpddns.cn:88/mdxgh/cctv2
CCTV-3,http://mdxgh.tpddns.cn:88/mdxgh/cctv3
CCTV-4,http://mdxgh.tpddns.cn:88/mdxgh/cctv4
CCTV-5,http://mdxgh.tpddns.cn:88/mdxgh/cctv5
CCTV-5+,http://mdxgh.tpddns.cn:88/mdxgh/cctv5p
CCTV-6,http://mdxgh.tpddns.cn:88/mdxgh/cctv6
CCTV-7,http://mdxgh.tpddns.cn:88/mdxgh/cctv7
CCTV-8,http://mdxgh.tpddns.cn:88/mdxgh/cctv8
CCTV-9,http://mdxgh.tpddns.cn:88/mdxgh/cctv9
CCTV-10,http://mdxgh.tpddns.cn:88/mdxgh/cctv10
CCTV-11,http://mdxgh.tpddns.cn:88/mdxgh/cctv11
CCTV-12,http://mdxgh.tpddns.cn:88/mdxgh/cctv12
CCTV-13,http://mdxgh.tpddns.cn:88/mdxgh/cctv13
CCTV-14,http://mdxgh.tpddns.cn:88/mdxgh/cctv14
CCTV-15,http://mdxgh.tpddns.cn:88/mdxgh/cctv15
CCTV-16,http://mdxgh.tpddns.cn:88/mdxgh/cctv16
CCTV-17,http://mdxgh.tpddns.cn:88/mdxgh/cctv17
CCTV-4K,http://mdxgh.tpddns.cn:88/mdxgh/cctv4k
CCTV-8K,http://mdxgh.tpddns.cn:88/mdxgh/cctv8k
CCTV-风云剧场,http://mdxgh.tpddns.cn:88/mdxgh/cctvfyjc


CCTV-1,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv1hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-2,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv2hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-3,http://hlsbkmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-4,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv4hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-4欧洲,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-4美洲,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-5,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv5hd265/57/20191230/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-5+,http://hlsbkmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-6,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv6hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-7,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-8,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv8hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-9,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-10,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv10hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-11,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv11hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-12,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-13,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv13/57/20220913/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-14,http://hlsbkmgsplive.miguvideo.com/migu/kailu/cctv14hd265/55/20200407/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-15,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
CCTV-17,http://hlsbkmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/57/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=




CCTV-1,http://fangke.blueswords.com:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://fangke.blueswords.com:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://fangke.blueswords.com:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://fangke.blueswords.com:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://fangke.blueswords.com:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://fangke.blueswords.com:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://fangke.blueswords.com:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://fangke.blueswords.com:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://fangke.blueswords.com:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://fangke.blueswords.com:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://fangke.blueswords.com:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://fangke.blueswords.com:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://fangke.blueswords.com:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://fangke.blueswords.com:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://fangke.blueswords.com:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0



世界地理,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172003.m3u8?key=txiptv&playlive=1&authid=0
兵器科技,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172103.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171803.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171903.m3u8?key=txiptv&playlive=1&authid=0
风云剧场,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171703.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024163303.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8?key=txiptv&playlive=1&authid=0
高尔网球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024166203.m3u8?key=txiptv&playlive=1&authid=0
央视台球,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172403.m3u8?key=txiptv&playlive=1&authid=0
电视指南,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172503.m3u8?key=txiptv&playlive=1&authid=0
女性时尚,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172203.m3u8?key=txiptv&playlive=1&authid=0
卫生健康,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2024165201.m3u8?key=txiptv&playlive=1&authid=0
CGT英语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575001.m3u8?key=txiptv&playlive=1&authid=0 
CGT纪录,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574703.m3u8?key=txiptv&playlive=1&authid=0 
CGT西语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022571703.m3u8?key=txiptv&playlive=1&authid=0 
CGT法语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574903.m3u8?key=txiptv&playlive=1&authid=0 
CGT阿语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574603.m3u8?key=txiptv&playlive=1&authid=0 
CGT俄语,http://hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574803.m3u8?key=txiptv&playlive=1&authid=0 
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8?key=txiptv&playlive=1&authid=0








CGTN记录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN俄语,https://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8




CETV-1,http://yuju666888.x3322.net:808/hls/204/index.m3u8








C高尔夫网球,http://yuju666888.x3322.net:808/hls/63/index.m3u8
现代教育,http://yuju666888.x3322.net:808/hls/126/index.m3u8




CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-13,http://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000


兵器科技高清,http://116.23.96.132:50000/udp/239.253.43.18:5146
兵器科技高清,http://116.23.96.132:50000/udp/239.253.43.9:5146
电视指南高清,http://116.23.96.132:50000/udp/239.253.43.19:5146
电视指南高清,http://116.23.96.132:50000/udp/239.253.43.10:5146
风云足球高清,http://116.23.96.132:50000/udp/239.253.43.20:5146
风云足球高清,http://116.23.96.132:50000/udp/239.253.43.14:5146
央视台球高清,http://116.23.96.132:50000/udp/239.253.43.21:5146
央视台球高清,http://116.23.96.132:50000/udp/239.253.43.11:5146
高尔夫网球高清,http://116.23.96.132:50000/udp/239.253.43.22:5146
高尔夫网球高清,http://116.23.96.132:50000/udp/239.253.43.12:5146
女性时尚高清,http://116.23.96.132:50000/udp/239.253.43.23:5146
女性时尚高清,http://116.23.96.132:50000/udp/239.253.43.8:5146
世界地理高清,http://116.23.96.132:50000/udp/239.253.43.24:5146
世界地理高清,http://116.23.96.132:50000/udp/239.253.43.7:5146
怀旧剧场高清,http://116.23.96.132:50000/udp/239.253.43.25:5146
怀旧剧场高清,http://116.23.96.132:50000/udp/239.253.43.5:5146
风云剧场高清,http://116.23.96.132:50000/udp/239.253.43.26:5146
风云剧场高清,http://116.23.96.132:50000/udp/239.253.43.16:5146
央视文化精品高清,http://116.23.96.132:50000/udp/239.253.43.27:5146
央视文化精品高清,http://116.23.96.132:50000/udp/239.253.43.13:5146
第一剧场高清,http://116.23.96.132:50000/udp/239.253.43.28:5146
第一剧场高清,http://116.23.96.132:50000/udp/239.253.43.15:5146
风云音乐高清,http://116.23.96.132:50000/udp/239.253.43.29:5146
风云音乐高清,http://116.23.96.132:50000/udp/239.253.43.6:5146
老故事,http://116.23.96.132:50000/udp/239.77.0.220:5146
老故事,http://116.23.96.132:50000/udp/239.77.1.197:5146
中学生,http://116.23.96.132:50000/udp/239.77.1.195:5146
发现之旅,http://116.23.96.132:50000/udp/239.77.1.112:5146
CHC高清电影,http://116.23.96.132:50000/udp/239.77.0.27:5146
卡酷少儿,http://116.23.96.132:50000/udp/239.77.0.79:5146
卡酷少儿,http://116.23.96.132:50000/udp/239.77.1.50:5146
金鹰卡通,http://116.23.96.132:50000/udp/239.77.0.80:5146
金鹰卡通,http://116.23.96.132:50000/udp/239.77.1.52:5146
金鹰卡通高清,http://116.23.96.132:50000/udp/239.77.0.164:5146
哈哈炫动,http://116.23.96.132:50000/udp/239.77.0.81:5146
哈哈炫动,http://116.23.96.132:50000/udp/239.77.1.139:5146
优漫卡通,http://116.23.96.132:50000/udp/239.77.0.222:5146
优漫卡通,http://116.23.96.132:50000/udp/239.77.1.79:5146
CETV-1高清,http://116.23.96.132:50000/udp/239.77.1.222:5146
中国教育-1高清,http://116.23.96.132:50000/udp/239.77.0.200:5146
CETV-2,http://116.23.96.132:50000/udp/239.77.0.28:5146
CETV-2,http://116.23.96.132:50000/udp/239.77.1.69:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.77.1.200:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.253.43.40:5146
CETV-4高清,http://116.23.96.132:50000/udp/239.253.43.114:5146
早期教育高清,http://116.23.96.132:50000/udp/239.77.0.180:5146







卫视频道,#genre#

湖南卫视,http://60.223.224.176:8888/newlive/live/hls/22/live.m3u8
东方卫视,http://60.223.224.176:8888/newlive/live/hls/19/live.m3u8
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
江苏卫视,http://60.223.224.176:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://60.223.224.176:8888/newlive/live/hls/20/live.m3u8
北京卫视,http://60.223.224.176:8888/newlive/live/hls/18/live.m3u8
河南卫视,http://60.223.224.176:8888/newlive/live/hls/32/live.m3u8
湖北卫视,http://60.223.224.176:8888/newlive/live/hls/33/live.m3u8
山西卫视,http://60.223.224.176:8888/newlive/live/hls/43/live.m3u8



浙江卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=zjws
东方卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=dfws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=llws
北京卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=bjws
贵州卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gzws
重庆卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cqws
云南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ynws
湖南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hinws
安徽卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ahws
优漫卡通,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=ymkt
江西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jxws
吉林卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jlws
四海钓鱼,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=shdy
天津卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=tjws
卡酷动画,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=kkdh
广西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gxws
四川卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=scws
悍不畏死,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hbws
山西卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=sxws
江苏卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jsws
东南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=dnws
黑龙江卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hljws
广东卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=gdws
山东卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=sdws
湖南经视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnjs
湖南卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnws
金鹰卡通,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=jykt
金鹰纪实,http://v5.kuboys.top/apptov5/v3/barrage/get?vod_id=157150&vod_url=77&from=videojs
先锋乒羽,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=xfpy
湖南娱乐,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnyl
湖南都市,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnds
快乐垂钓,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=klcd
湖南娱乐高清,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnyl
湖南娱乐都市,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hunds
湖南爱晚,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=hnaw
深圳卫视,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=szws
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
北京卫视,http://119.129.172.80:8081/hls/46/index.m3u8
东方卫视,http://119.129.172.80:8081/hls/45/index.m3u8
浙江卫视,http://119.129.172.80:8081/hls/47/index.m3u8
江苏卫视,http://119.129.172.80:8081/hls/48/index.m3u8
湖南卫视,http://119.129.172.80:8081/hls/44/index.m3u8
广东卫视,http://119.129.172.80:8081/hls/42/index.m3u8
深圳卫视,http://119.129.172.80:8081/hls/43/index.m3u8
天津卫视,http://119.129.172.80:8081/hls/50/index.m3u8
山东卫视,http://119.129.172.80:8081/hls/51/index.m3u8
湖北卫视,http://119.129.172.80:8081/hls/52/index.m3u8
安徽卫视,http://119.129.172.80:8081/hls/53/index.m3u8
辽宁卫视,http://119.129.172.80:8081/hls/54/index.m3u8
贵州卫视,http://119.129.172.80:8081/hls/55/index.m3u8
四川卫视,http://119.129.172.80:8081/hls/56/index.m3u8
重庆卫视,http://119.129.172.80:8081/hls/57/index.m3u8
河北卫视,http://119.129.172.80:8081/hls/58/index.m3u8
江西卫视,http://119.129.172.80:8081/hls/59/index.m3u8
吉林卫视,http://119.129.172.80:8081/hls/60/index.m3u8
广西卫视,http://119.129.172.80:8081/hls/61/index.m3u8
云南卫视,http://119.129.172.80:8081/hls/62/index.m3u8
青海卫视,http://119.129.172.80:8081/hls/63/index.m3u8
