新闻,#genre#
时尚运动X,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv014
GINXEsportsTV,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv053
智林体育台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv101
博斯魅力,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn04
博斯高球1,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn05
博斯高球2,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn06
博斯运动1,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn07
博斯运动2,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn08
博斯网球1,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn09
博斯无限1,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn10
博斯无限2,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn13

纪录,#genre#
视纳华仁纪实,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv013
Globetrotter,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv016
达文西频道,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv018

旅游,#genre#
亚洲旅游台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv076
民视旅游台,http://154.219.113.217:8080/sub?token=112233&id=litv-ftv07

教育,#genre#
Smart知识台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn19

少儿,#genre#
靖天卡通台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv044
靖洋卡通台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv057
龙华卡通台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn01

音乐,#genre#
CLASSICA古典乐,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv059
TraceUrban,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv082
MezzoLiveHD,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv083
